Квартира,Корпус,Этаж,Комнат,Планировка,"Площадь, м²","Цена за м², руб.","Цена, руб.","Цена продажи, руб.","Скидка, руб.",Менеджер,Дата сделки,Дата обращения,Дней в работе,Вид
М-ГП1-А-014,ГП1,3,2,СКЛ12,54.86,"30,147","1,653,851","1,653,851",,Лиана,6/20/2022,6/3/2022,17,окна в окна
М-ГП1-А-015,ГП1,3,1,1ЛКС,38.21,"45,970","1,756,516",,,,,,,на дорогу
М-ГП1-А-016,ГП1,4,2,12ЛКС,55.33,"39,568","2,189,277",,,,,,,на дорогу
М-ГП1-А-017,ГП1,4,2,ТС1ЛК2,59.86,"39,568","2,368,518",,,,,,,на реку
М-ГП1-А-018,ГП1,4,1,СКЛ1,35.97,"49,907","1,795,150","1,595,150","200,000",Филипп,7/27/2022,7/15/2022,12,на реку
М-ГП1-А-019,ГП1,4,3,ТСС123ЛК,95.71,"33,075","3,165,608","3,165,608",,Саша,8/2/2022,7/10/2022,23,на реку
М-ГП1-А-020,ГП1,4,1,1СТЛ,30.45,"37,739","1,149,153",,,,,,,окна в окна
М-ГП1-А-021,ГП1,4,2,СКЛ12,54.86,"31,654","1,736,544",,,,,,,окна в окна
М-ГП1-А-022,ГП1,4,1,1ЛКС,38.21,"48,269","1,844,341","1,644,341","200,000",Филипп,6/14/2022,5/31/2022,14,на дорогу
М-ГП1-А-023,ГП1,5,2,12ЛКС,55.33,"41,546","2,298,740","2,248,740","50,000",Лиана,7/5/2022,5/28/2022,38,на дорогу
М-ГП1-А-024,ГП1,5,2,ТС1ЛК2,59.86,"41,546","2,486,944","2,486,944",,Саша,7/22/2022,7/4/2022,18,на реку
М-ГП1-А-025,ГП1,5,1,СКЛ1,35.97,"52,402","1,884,908","1,684,908","200,000",Филипп,7/28/2022,7/27/2022,1,на реку
М-ГП1-А-026,ГП1,5,3,ТСС123ЛК,95.71,"34,729","3,323,889","3,323,889",,Иван,7/9/2022,7/9/2022,0,на реку
М-ГП1-А-027,ГП1,5,1,1СТЛ,30.45,"39,626","1,206,611",,,,,,,окна в окна
М-ГП1-А-028,ГП1,5,2,СКЛ12,54.86,"33,237","1,823,371","1,723,371","100,000",Саша,6/24/2022,6/3/2022,21,окна в окна
М-ГП1-А-029,ГП1,5,1,1ЛКС,38.21,"50,682","1,936,558","1,936,558",,Лиана,6/8/2022,5/28/2022,11,на дорогу
М-ГП1-А-030,ГП1,6,2,12ЛКС,55.33,"43,623","2,413,677","2,413,677",,Лиана,6/13/2022,5/24/2022,20,на дорогу
М-ГП1-А-031,ГП1,6,2,ТС1ЛК2,59.86,"43,623","2,611,291",,,,,,,на реку
М-ГП1-А-032,ГП1,6,1,СКЛ1,35.97,"55,022","1,979,153",,,,,,,на реку
М-ГП1-А-033,ГП1,6,3,ТСС123ЛК,95.71,"36,465","3,490,083",,,,,,,на реку
М-ГП1-А-034,ГП1,6,1,1СТЛ,30.45,"41,607","1,266,941","1,166,941","100,000",Иван,6/12/2022,5/30/2022,13,окна в окна
М-ГП1-А-035,ГП1,6,2,СКЛ12,54.86,"34,899","1,914,540","1,914,540",,Иван,6/23/2022,6/23/2022,0,окна в окна
М-ГП1-А-036,ГП1,6,1,1ЛКС,38.21,"53,216","2,033,386","2,033,386",,Саша,6/20/2022,5/19/2022,32,на дорогу
М-ГП1-А-037,ГП1,7,2,12ЛКС,55.33,"45,804","2,534,361","2,534,361",,Иван,6/16/2022,6/5/2022,11,на дорогу
М-ГП1-А-038,ГП1,7,2,ТС1ЛК2,59.86,"45,804","2,741,856","2,741,856",,Филипп,7/25/2022,7/6/2022,19,на реку
М-ГП1-А-039,ГП1,7,1,СКЛ1,35.97,"57,773","2,078,111",,,,,,,на реку
М-ГП1-А-040,ГП1,7,3,ТСС123ЛК,95.71,"38,288","3,664,587","3,514,587","150,000",Филипп,8/18/2022,7/2/2022,47,на реку
М-ГП1-А-041,ГП1,7,1,1СТЛ,30.45,"43,688","1,330,288",,,,,,,окна в окна
М-ГП1-А-042,ГП1,7,2,СКЛ12,54.86,"36,644","2,010,267","1,860,267","150,000",Иван,6/22/2022,6/10/2022,12,окна в окна
М-ГП1-А-043,ГП1,7,1,1ЛКС,38.21,"55,877","2,135,056","2,135,056",,Филипп,6/12/2022,5/20/2022,23,на дорогу
М-ГП1-А-044,ГП1,8,2,12ЛКС,55.33,"48,095","2,661,079","2,661,079",,Миша,7/10/2022,5/25/2022,46,на дорогу
М-ГП1-А-045,ГП1,8,2,ТС1ЛК2,59.86,"48,095","2,878,948","2,778,948","100,000",Саша,7/24/2022,6/24/2022,30,на реку
М-ГП1-А-046,ГП1,8,1,СКЛ1,35.97,"60,662","2,182,016","2,182,016",,Иван,7/28/2022,7/15/2022,13,на реку
М-ГП1-А-047,ГП1,8,3,ТСС123ЛК,95.71,"40,203","3,847,817","3,797,817","50,000",Лиана,7/19/2022,6/26/2022,23,на реку
М-ГП1-А-048,ГП1,8,1,1СТЛ,30.45,"45,872","1,396,803","1,196,803","200,000",Филипп,6/9/2022,5/23/2022,17,окна в окна
М-ГП1-А-049,ГП1,8,2,СКЛ12,54.86,"38,476","2,110,780","2,110,780",,Лиана,6/19/2022,6/8/2022,11,окна в окна
М-ГП1-А-050,ГП1,8,1,1ЛКС,38.21,"58,671","2,241,808","2,241,808",,Иван,7/11/2022,5/28/2022,44,на дорогу
М-ГП1-А-051,ГП1,9,2,12ЛКС,55.33,"50,499","2,794,133","2,794,133",,Иван,6/30/2022,5/26/2022,35,на дорогу
М-ГП1-А-052,ГП1,9,2,ТС1ЛК2,59.86,"50,499","3,022,896","2,872,896","150,000",Филипп,7/28/2022,6/18/2022,40,на реку
М-ГП1-А-053,ГП1,9,1,СКЛ1,35.97,"63,695","2,291,117",,,,,,,на реку
М-ГП1-А-054,ГП1,9,3,ТСС123ЛК,95.71,"42,213","4,040,207","3,890,207","150,000",Филипп,7/11/2022,7/4/2022,7,на реку
М-ГП1-А-055,ГП1,9,1,1СТЛ,30.45,"48,166","1,466,643",,,,,,,окна в окна
М-ГП1-А-056,ГП1,9,2,СКЛ12,54.86,"40,400","2,216,319",,,,,,,окна в окна
М-ГП1-А-057,ГП1,9,1,1ЛКС,38.21,"61,604","2,353,899","2,353,899",,Саша,7/19/2022,5/22/2022,58,на дорогу
М-ГП1-А-058,ГП1,10,2,12ЛКС,55.33,"55,549","3,073,547","3,073,547",,Саша,7/8/2022,6/10/2022,28,на дорогу
М-ГП1-А-059,ГП1,10,2,ТС1ЛК2,59.86,"55,549","3,325,185",,,,,,,на реку
М-ГП1-А-060,ГП1,10,1,СКЛ1,35.97,"70,065","2,520,229","2,520,229",,Миша,7/28/2022,7/18/2022,10,на реку
М-ГП1-А-061,ГП1,10,3,ТСС123ЛК,95.71,"46,434","4,444,228","4,444,228",,Лиана,7/20/2022,6/27/2022,23,на реку
М-ГП1-А-062,ГП1,10,1,1СТЛ,30.45,"52,982","1,613,307","1,613,307",,Филипп,6/20/2022,5/20/2022,31,окна в окна
М-ГП1-А-063,ГП1,10,2,СКЛ12,54.86,"44,439","2,437,951",,,,,,,окна в окна
М-ГП1-А-064,ГП1,10,1,1ЛКС,38.21,"67,765","2,589,289","2,439,289","150,000",Иван,6/2/2022,5/18/2022,15,на дорогу
М-ГП1-А-065,ГП1,11,2,12ЛКС,55.33,"61,104","3,380,901",,,,,,,на дорогу
М-ГП1-А-066,ГП1,11,2,ТС1ЛК2,59.86,"61,104","3,657,704","3,557,704","100,000",Иван,7/8/2022,7/2/2022,6,на реку
М-ГП1-А-067,ГП1,11,1,СКЛ1,35.97,"77,071","2,772,251","2,672,251","100,000",Лиана,7/28/2022,7/14/2022,14,на реку
М-ГП1-А-068,ГП1,11,3,ТСС123ЛК,95.71,"51,078","4,888,651","4,738,651","150,000",Филипп,7/11/2022,7/4/2022,7,на реку
М-ГП1-А-069,ГП1,11,1,1СТЛ,30.45,"58,280","1,774,638",,,,,,,окна в окна
М-ГП1-А-070,ГП1,11,2,СКЛ12,54.86,"48,883","2,681,746",,,,,,,окна в окна
М-ГП1-А-071,ГП1,11,1,1ЛКС,38.21,"74,541","2,848,218","2,848,218",,Иван,6/12/2022,5/27/2022,16,на дорогу
М-ГП1-А-072,ГП1,12,2,12ЛКС,55.33,"67,215","3,718,991","3,718,991",,Иван,7/1/2022,6/1/2022,30,на дорогу
М-ГП1-А-073,ГП1,12,2,ТС1ЛК2,59.86,"67,215","4,023,474",,,,,,,на реку
М-ГП1-А-074,ГП1,12,1,СКЛ1,35.97,"84,778","3,049,477",,,,,,,на реку
М-ГП1-А-075,ГП1,12,3,ТСС123ЛК,95.71,"56,186","5,377,516",,,,,,,на реку
М-ГП1-А-076,ГП1,12,1,1СТЛ,30.45,"64,108","1,952,102","1,952,102",,Саша,6/28/2022,5/29/2022,30,окна в окна
М-ГП1-А-077,ГП1,12,2,СКЛ12,54.86,"53,772","2,949,920","2,799,920","150,000",Миша,7/25/2022,6/20/2022,35,окна в окна
М-ГП1-А-078,ГП1,12,1,1ЛКС,38.21,"81,995","3,133,039","3,133,039",,Саша,6/20/2022,5/28/2022,23,на дорогу
М-ГП1-А-079,ГП1,13,2,12ЛКС,55.33,"73,936","4,090,891","3,940,891","150,000",Иван,6/28/2022,6/12/2022,16,на дорогу
М-ГП1-А-080,ГП1,13,2,ТС1ЛК2,59.86,"73,936","4,425,822","4,425,822",,Иван,7/8/2022,7/5/2022,3,на реку
М-ГП1-А-081,ГП1,13,1,СКЛ1,35.97,"93,256","3,354,424","3,154,424","200,000",Филипп,7/29/2022,7/12/2022,17,на реку
М-ГП1-А-082,ГП1,13,3,ТСС123ЛК,95.71,"61,804","5,915,268","5,765,268","150,000",Филипп,7/11/2022,6/20/2022,21,на реку
М-ГП1-А-083,ГП1,13,1,1СТЛ,30.45,"70,519","2,147,312","2,147,312",,Иван,6/2/2022,5/23/2022,10,окна в окна
М-ГП1-А-084,ГП1,13,2,СКЛ12,54.86,"59,149","3,244,912","3,194,912","50,000",Саша,6/28/2022,6/9/2022,19,окна в окна
М-ГП1-А-085,ГП1,13,1,1ЛКС,38.21,"90,195","3,446,343","3,446,343",,Лиана,6/22/2022,5/25/2022,28,на дорогу
М-ГП1-А-086,ГП1,14,2,12ЛКС,55.33,"81,330","4,499,980","4,499,980",,Лиана,6/12/2022,5/28/2022,15,на дорогу
М-ГП1-А-087,ГП1,14,2,ТС1ЛК2,59.86,"81,330","4,868,404","4,868,404",,Лиана,7/15/2022,7/4/2022,11,на реку
М-ГП1-А-088,ГП1,14,1,СКЛ1,35.97,"102,582","3,689,867",,,,,,,на реку
М-ГП1-А-089,ГП1,14,3,ТСС123ЛК,95.71,"67,984","6,506,794","6,506,794",,Филипп,7/11/2022,6/29/2022,12,на реку
М-ГП1-А-090,ГП1,14,1,1СТЛ,30.45,"77,571","2,362,043","2,362,043",,Миша,7/26/2022,5/22/2022,65,окна в окна
М-ГП1-А-091,ГП1,14,2,СКЛ12,54.86,"65,064","3,569,404","3,369,404","200,000",Филипп,6/30/2022,6/10/2022,20,окна в окна
М-ГП1-А-092,ГП1,14,1,1ЛКС,38.21,"99,214","3,790,978","3,740,978","50,000",Иван,6/8/2022,5/30/2022,9,на дорогу
М-ГП1-А-093,ГП1,15,2,12ЛКС,55.33,"89,463","4,949,978","4,949,978",,Лиана,6/13/2022,6/12/2022,1,на дорогу
М-ГП1-А-094,ГП1,15,2,ТС1ЛК2,59.86,"97,596","5,842,085","5,842,085",,Филипп,7/26/2022,6/28/2022,28,на реку
М-ГП1-А-095,ГП1,15,1,СКЛ1,35.97,"123,098","4,427,840","4,427,840",,Миша,7/29/2022,7/21/2022,8,на реку
М-ГП1-А-096,ГП1,15,3,ТСС123ЛК,95.71,"81,581","7,808,153",,,,,,,на реку
М-ГП1-А-097,ГП1,15,1,1СТЛ,30.45,"85,328","2,598,247","2,448,247","150,000",Филипп,6/8/2022,6/4/2022,4,окна в окна
М-ГП1-А-098,ГП1,15,2,СКЛ12,54.86,"71,570","3,926,344","3,926,344",,Иван,6/21/2022,6/16/2022,5,окна в окна
М-ГП1-А-099,ГП1,15,1,1ЛКС,38.21,"109,136","4,170,076","4,020,076","150,000",Филипп,6/9/2022,5/21/2022,19,на дорогу
М-ГП1-А-100,ГП1,16,2,12ЛКС,55.33,"98,409","5,444,975",,,,,,,на дорогу
М-ГП1-А-101,ГП1,16,2,ТС1ЛК2,59.86,"117,115","7,010,501",,,,,,,на реку
М-ГП1-А-102,ГП1,16,1,СКЛ1,35.97,"147,718","5,313,408","5,063,408",250000,Филипп,7/29/2022,7/26/2022,3,на реку
М-ГП1-А-103,ГП1,16,3,ТСС123ЛК,95.71,"89,740","8,588,969","8,338,969","250,000",Иван,7/13/2022,7/4/2022,9,на реку
М-ГП1-А-104,ГП1,16,1,1СТЛ,30.45,"93,861","2,858,072","2,858,072",,Филипп,6/26/2022,6/2/2022,24,окна в окна
М-ГП1-А-105,ГП1,16,2,СКЛ12,54.86,"78,727","4,318,978","4,168,978","150,000",Филипп,6/24/2022,6/6/2022,18,окна в окна
М-ГП1-А-106,ГП1,16,1,1ЛКС,38.21,"120,049","4,587,083","4,587,083",,Лиана,6/14/2022,5/22/2022,23,на дорогу
М-ГП1-А-107,ГП1,17,2,12ЛКС,55.33,"118,091","6,533,970","6,533,970",,Филипп,7/7/2022,6/3/2022,34,на дорогу
М-ГП1-А-108,ГП1,17,2,ТС1ЛК2,59.86,"140,538","8,412,602",,,,,,,на реку
М-ГП1-А-109,ГП1,17,1,СКЛ1,35.97,"162,490","5,844,749","5,744,749","100,000",Иван,8/9/2022,7/23/2022,17,на реку
М-ГП1-А-110,ГП1,17,3,ТСС123ЛК,95.71,"107,687","10,306,762",,,,,,,на реку
М-ГП1-А-111,ГП1,17,1,1СТЛ,30.45,"103,247","3,143,879","2,943,879","200,000",Филипп,6/14/2022,6/5/2022,9,окна в окна
М-ГП1-А-112,ГП1,17,2,СКЛ12,54.86,"86,600","4,750,876","4,730,876","20,000",Иван,6/22/2022,6/15/2022,7,окна в окна
М-ГП1-А-113,ГП1,17,1,1ЛКС,38.21,"132,054","5,045,791","5,045,791",,Лиана,6/6/2022,6/3/2022,3,на дорогу
М-ГП2-А-001,ГП2,1,2,12ЛКС,55.33,"28,611","1,583,047","1,583,047",,Иван,7/29/2022,7/20/2022,9,на дорогу
М-ГП2-А-004,ГП2,2,2,12ЛКС,55.33,"35,142","1,944,407",,,,,,,на дорогу
М-ГП2-А-005,ГП2,2,2,ТС1ЛК2,59.86,"28,114","1,682,880","1,682,880",,Лиана,7/8/2022,7/4/2022,4,окна в окна
М-ГП2-А-006,ГП2,2,1,СКЛ1,35.97,"35,414","1,273,827","1,153,827","120,000",Лиана,8/8/2022,7/12/2022,27,окна в окна
М-ГП2-А-007,ГП2,2,3,ТСС123ЛК,95.71,"29,000","2,775,590","2,565,590","210,000",Иван,6/28/2022,6/21/2022,7,на ЖК
М-ГП2-А-008,ГП2,2,1,1СТЛ,30.45,"34,267","1,043,436",,,,,,,окна в окна
М-ГП2-А-009,ГП2,2,2,СКЛ12,54.86,"28,114","1,542,312",,,,,,,окна в окна
М-ГП2-А-010,ГП2,2,1,1ЛКС,38.21,"44,781","1,711,082",,,,,,,на дорогу
М-ГП2-А-011,ГП2,3,2,12ЛКС,55.33,"36,899","2,041,627",,,,,,,на дорогу
М-ГП2-А-012,ГП2,3,2,ТС1ЛК2,59.86,"29,519","1,767,024",,,,,,,окна в окна
М-ГП2-А-013,ГП2,3,1,СКЛ1,35.97,"37,184","1,337,519","1,337,519",,Саша,8/2/2022,7/16/2022,17,окна в окна
М-ГП2-А-014,ГП2,3,3,ТСС123ЛК,95.71,"30,450","2,914,370","2,914,370",,Миша,7/19/2022,6/27/2022,22,на ЖК
М-ГП2-А-015,ГП2,3,1,1СТЛ,30.45,"35,981","1,095,608",,,,,,,окна в окна
М-ГП2-А-016,ГП2,3,2,СКЛ12,54.86,"29,519","1,619,428","1,619,428",,Филипп,6/30/2022,6/8/2022,22,окна в окна
М-ГП2-А-017,ГП2,3,1,1ЛКС,38.21,"47,020","1,796,636",,,,,,,на дорогу
М-ГП2-А-018,ГП2,4,2,12ЛКС,55.33,"38,744","2,143,709",,,,,,,на дорогу
М-ГП2-А-019,ГП2,4,2,ТС1ЛК2,59.86,"30,995","1,855,375","1,855,375",,Иван,7/8/2022,6/28/2022,10,окна в окна
М-ГП2-А-020,ГП2,4,1,СКЛ1,35.97,"39,043","1,404,394","1,404,394",,Иван,8/22/2022,7/12/2022,41,окна в окна
М-ГП2-А-021,ГП2,4,3,ТСС123ЛК,95.71,"31,973","3,060,088",,,,,,,на ЖК
М-ГП2-А-022,ГП2,4,1,1СТЛ,30.45,"37,780","1,150,388","1,150,388",,Саша,7/18/2022,5/29/2022,50,окна в окна
М-ГП2-А-023,ГП2,4,2,СКЛ12,54.86,"30,995","1,700,399","1,700,399",,Иван,6/23/2022,6/6/2022,17,окна в окна
М-ГП2-А-024,ГП2,4,1,1ЛКС,38.21,"49,371","1,886,468","1,886,468",,Миша,7/20/2022,5/21/2022,60,на дорогу
М-ГП2-А-025,ГП2,5,2,12ЛКС,55.33,"40,681","2,250,894","2,250,894",,Филипп,6/30/2022,5/25/2022,36,на дорогу
М-ГП2-А-026,ГП2,5,2,ТС1ЛК2,59.86,"32,545","1,948,144","1,948,144",,Лиана,7/12/2022,6/27/2022,15,окна в окна
М-ГП2-А-027,ГП2,5,1,СКЛ1,35.97,"40,996","1,474,614",,,,,,,окна в окна
М-ГП2-А-028,ГП2,5,3,ТСС123ЛК,95.71,"33,571","3,213,092","3,213,092",,Филипп,8/22/2022,6/29/2022,54,на ЖК
М-ГП2-А-029,ГП2,5,1,1СТЛ,30.45,"39,669","1,207,908",,,,,,,окна в окна
М-ГП2-А-030,ГП2,5,2,СКЛ12,54.86,"32,545","1,785,419",,,,,,,окна в окна
М-ГП2-А-031,ГП2,5,1,1ЛКС,38.21,"51,840","1,980,791","1,980,791",,Миша,6/26/2022,5/26/2022,31,на дорогу
М-ГП2-А-032,ГП2,6,2,12ЛКС,55.33,"42,715","2,363,439","2,363,439",,Иван,6/17/2022,6/2/2022,15,на дорогу
М-ГП2-А-033,ГП2,6,2,ТС1ЛК2,59.86,"34,172","2,045,551","2,045,551",,Саша,7/17/2022,6/20/2022,27,окна в окна
М-ГП2-А-034,ГП2,6,1,СКЛ1,35.97,"43,045","1,548,345",,,,,,,окна в окна
М-ГП2-А-035,ГП2,6,3,ТСС123ЛК,95.71,"35,250","3,373,747","3,223,747","150,000",Миша,7/21/2022,7/2/2022,19,на ЖК
М-ГП2-А-036,ГП2,6,1,1СТЛ,30.45,"41,652","1,268,303","1,268,303",,Иван,6/19/2022,5/30/2022,20,окна в окна
М-ГП2-А-037,ГП2,6,2,СКЛ12,54.86,"34,172","1,874,690","1,874,690",,Иван,6/23/2022,6/6/2022,17,окна в окна
М-ГП2-А-038,ГП2,6,1,1ЛКС,38.21,"54,432","2,079,831","2,079,831",,Саша,7/22/2022,6/3/2022,49,на дорогу
М-ГП2-А-039,ГП2,7,2,12ЛКС,55.33,"44,851","2,481,611","2,481,611",,Лиана,6/16/2022,6/7/2022,9,на дорогу
М-ГП2-А-040,ГП2,7,2,ТС1ЛК2,59.86,"35,881","2,147,829",,,,,,,окна в окна
М-ГП2-А-041,ГП2,7,1,СКЛ1,35.97,"45,198","1,625,762","1,625,762",,Филипп,8/3/2022,7/14/2022,20,окна в окна
М-ГП2-А-042,ГП2,7,3,ТСС123ЛК,95.71,"37,012","3,542,434","3,542,434",,Иван,6/28/2022,6/28/2022,0,на ЖК
М-ГП2-А-043,ГП2,7,1,1СТЛ,30.45,"43,735","1,331,718",,,,,,,окна в окна
М-ГП2-А-044,ГП2,7,2,СКЛ12,54.86,"35,881","1,968,424",,,,,,,окна в окна
М-ГП2-А-045,ГП2,7,1,1ЛКС,38.21,"57,153","2,183,822",,,,,,,на дорогу
М-ГП2-А-046,ГП2,8,2,12ЛКС,55.33,"47,094","2,605,691","2,605,691",,Иван,6/16/2022,5/24/2022,23,на дорогу
М-ГП2-А-047,ГП2,8,2,ТС1ЛК2,59.86,"37,675","2,255,220",,,,,,,окна в окна
М-ГП2-А-048,ГП2,8,1,СКЛ1,35.97,"47,458","1,707,050","1,707,050",,Миша,8/2/2022,7/11/2022,22,окна в окна
М-ГП2-А-049,ГП2,8,3,ТСС123ЛК,95.71,"38,863","3,719,556","3,669,556","50,000",Лиана,7/17/2022,7/7/2022,10,на ЖК
М-ГП2-А-050,ГП2,8,1,1СТЛ,30.45,"45,921","1,398,304","1,398,304",,Филипп,6/21/2022,5/27/2022,25,окна в окна
М-ГП2-А-051,ГП2,8,2,СКЛ12,54.86,"37,675","2,066,846",,,,,,,окна в окна
М-ГП2-А-052,ГП2,8,1,1ЛКС,38.21,"60,011","2,293,014",,,,,,,на дорогу
М-ГП2-А-053,ГП2,9,2,12ЛКС,55.33,"49,448","2,735,976","2,735,976",,Лиана,6/13/2022,5/30/2022,14,на дорогу
М-ГП2-А-054,ГП2,9,2,ТС1ЛК2,59.86,"39,559","2,367,981","2,367,981",,Филипп,7/27/2022,7/3/2022,24,окна в окна
М-ГП2-А-055,ГП2,9,1,СКЛ1,35.97,"49,830","1,792,403",,,,,,,окна в окна
М-ГП2-А-056,ГП2,9,3,ТСС123ЛК,95.71,"40,806","3,905,534","3,905,534",,Саша,8/4/2022,7/9/2022,26,на ЖК
М-ГП2-А-057,ГП2,9,1,1СТЛ,30.45,"48,217","1,468,220","1,468,220",,Миша,7/26/2022,5/30/2022,57,окна в окна
М-ГП2-А-058,ГП2,9,2,СКЛ12,54.86,"39,559","2,170,188","2,170,188",,Саша,6/30/2022,6/9/2022,21,окна в окна
М-ГП2-А-059,ГП2,9,1,1ЛКС,38.21,"63,011","2,407,664","2,407,664",,Саша,6/3/2022,5/26/2022,8,на дорогу
М-ГП2-А-060,ГП2,10,2,12ЛКС,55.33,"51,921","2,872,775","2,872,775",,Миша,7/12/2022,5/26/2022,47,на дорогу
М-ГП2-А-061,ГП2,10,2,ТС1ЛК2,59.86,"41,537","2,486,380","2,486,380",,Лиана,7/12/2022,6/28/2022,14,окна в окна
М-ГП2-А-062,ГП2,10,1,СКЛ1,35.97,"52,322","1,882,023","1,882,023",,Саша,8/4/2022,7/26/2022,9,окна в окна
М-ГП2-А-063,ГП2,10,3,ТСС123ЛК,95.71,"42,846","4,100,811","4,100,811",,Иван,7/7/2022,7/7/2022,0,на ЖК
М-ГП2-А-064,ГП2,10,1,1СТЛ,30.45,"50,628","1,541,631","1,541,631",,Миша,7/26/2022,5/25/2022,62,окна в окна
М-ГП2-А-065,ГП2,10,2,СКЛ12,54.86,"41,537","2,278,697",,,,,,,окна в окна
М-ГП2-А-066,ГП2,10,1,1ЛКС,38.21,"66,162","2,528,047",,,,,,,на дорогу
М-ГП2-А-067,ГП2,11,2,12ЛКС,55.33,"54,517","3,016,413",,,,,,,на дорогу
М-ГП2-А-068,ГП2,11,2,ТС1ЛК2,59.86,"43,613","2,610,699",,,,,,,окна в окна
М-ГП2-А-069,ГП2,11,1,СКЛ1,35.97,"54,938","1,976,124","1,876,124","100,000",Саша,8/2/2022,7/11/2022,22,окна в окна
М-ГП2-А-070,ГП2,11,3,ТСС123ЛК,95.71,"44,989","4,305,851",,,,,,,на ЖК
М-ГП2-А-071,ГП2,11,1,1СТЛ,30.45,"53,160","1,618,712","1,568,712","50,000",Лиана,6/9/2022,5/29/2022,11,окна в окна
М-ГП2-А-072,ГП2,11,2,СКЛ12,54.86,"43,613","2,392,632",,,,,,,окна в окна
М-ГП2-А-073,ГП2,11,1,1ЛКС,38.21,"69,470","2,654,450","2,654,450",,Иван,6/3/2022,5/24/2022,10,на дорогу
М-ГП2-А-074,ГП2,12,2,12ЛКС,55.33,"72,944","4,035,966","3,885,966","150,000",Филипп,6/9/2022,5/25/2022,15,на дорогу
М-ГП2-А-075,ГП2,12,2,ТС1ЛК2,59.86,"48,084","2,878,296","2,878,296",,Филипп,7/28/2022,6/23/2022,35,окна в окна
М-ГП2-А-076,ГП2,12,1,СКЛ1,35.97,"57,685","2,074,930","2,074,930",,Миша,8/3/2022,7/26/2022,8,окна в окна
М-ГП2-А-077,ГП2,12,3,ТСС123ЛК,95.71,"47,238","4,521,144",,,,,,,на ЖК
М-ГП2-А-078,ГП2,12,1,1СТЛ,30.45,"55,818","1,699,648",,,,,,,окна в окна
М-ГП2-А-079,ГП2,12,2,СКЛ12,54.86,"45,794","2,512,264",,,,,,,окна в окна
М-ГП2-А-080,ГП2,12,1,1ЛКС,38.21,,"1,837,282",,,,,,,на дорогу
М-ГП2-А-081,ГП2,13,2,12ЛКС,55.33,"60,105","3,325,596",,,,,,,на дорогу
М-ГП2-А-082,ГП2,13,2,ТС1ЛК2,59.86,0,"2,878,296",,,,,,,окна в окна
М-ГП2-А-083,ГП2,13,1,СКЛ1,35.97,"60,569","2,178,677","2,128,677","50,000",Саша,7/29/2022,7/13/2022,16,окна в окна
М-ГП2-А-084,ГП2,13,3,ТСС123ЛК,95.71,"49,600","4,747,201","4,697,201","50,000",Лиана,7/17/2022,6/29/2022,18,на ЖК
М-ГП2-А-085,ГП2,13,1,1СТЛ,30.45,"58,609","1,784,630",,,,,,,окна в окна
М-ГП2-А-086,ГП2,13,2,СКЛ12,54.86,"48,084","2,637,877","2,637,877",,Филипп,6/24/2022,6/15/2022,9,окна в окна
М-ГП2-А-087,ГП2,13,1,1ЛКС,38.21,"76,591","2,926,531","2,926,531",,Миша,7/10/2022,5/21/2022,50,на дорогу
М-ГП2-А-088,ГП2,14,2,12ЛКС,55.33,"63,110","3,491,875","3,291,875","200,000",Филипп,7/1/2022,6/11/2022,20,на дорогу
